,Tx,Tn,Pr,ET0
20101124,-4.38,-6.9,7.38,0.0
20101125,-7.14,-11.13,5.46,0.06375466416703286
20101126,-10.77,-13.02,1.29,0.0
20101127,-12.1,-15.09,1.09,0.0
20101128,-15.13,-23.08,0.0,0.0
20101129,-14.16,-23.57,0.0,0.0
20101130,-16.55,-21.74,0.0,0.0
20101201,-17.91,-25.75,0.0,0.0
20101202,-15.45,-22.25,0.0,0.0
20101203,-13.46,-20.4,0.0,0.0
20101204,-8.4,-14.57,5.09,0.0
20101205,-4.76,-8.67,1.36,0.0
20101206,-9.1,-11.1,1.49,0.0
20101207,-3.2,-9.97,1.24,0.0
20101208,-4.6,-6.35,1.29,0.0
20101209,-6.35,-7.86,10.8,0.07247202099109235
20101210,-7.44,-9.47,6.85,0.0
20101211,-7.77,-9.56,4.6,0.0
20101212,-7.62,-19.91,4.99,0.0
20101213,-11.81,-20.42,0.0,0.0
20101214,-8.67,-13.21,0.0,0.0
20101215,-10.36,-19.02,0.0,0.0
20101216,-14.16,-23.42,0.0,0.0
20101217,-12.73,-15.95,0.0,0.0
20101218,-16.5,-18.34,0.0,0.0
20101219,-13.28,-16.63,3.1,0.0
20101220,-11.38,-17.52,2.17,0.0
20101221,-10.6,-16.16,0.0,0.0
20101222,-12.31,-16.38,1.26,0.0
20101223,-13.7,-18.25,0.0,0.0
20101224,-14.26,-18.64,4.11,0.0
20101225,-12.23,-14.25,15.13,0.029426813838571517
20101226,-10.36,-13.19,2.91,0.026929508776009366
20101227,-10.7,-14.17,2.89,0.0
20101228,-13.36,-15.66,0.0,0.0
20101229,-13.12,-14.81,0.0,0.0
20101230,-11.81,-17.29,0.0,0.0
20101231,-13.87,-18.04,0.0,0.0
20110101,-10.43,-17.53,0.0,0.0
20110102,-10.78,-12.85,0.0,0.0
20110103,-12.26,-15.66,0.0,0.0
20110104,-9.15,-14.12,1.99,0.0
20110105,-8.43,-15.14,1.82,0.0
20110106,-7.52,-14.95,1.12,0.0
20110107,-5.38,-9.92,6.86,0.05768887182300254
20110108,-2.47,-6.74,0.0,0.0
20110109,-0.08,-6.74,3.72,0.059246896688240874
20110110,0.09,-1.55,2.22,0.0
20110111,-0.92,-5.51,0.0,0.0
20110112,-2.95,-10.31,5.29,0.0
20110113,-0.77,-4.88,9.33,0.10119460403933853
20110114,-5.07,-8.99,1.95,0.0
20110115,-9.09,-17.1,0.0,0.0
20110116,-14.52,-17.52,0.0,0.0
20110117,-6.75,-14.66,14.5,0.037603062957005905
20110118,-1.54,-6.02,2.89,0.0
20110119,-3.03,-7.08,3.27,0.06436472717431113
20110120,-3.53,-7.3,1.4,0.0
20110121,-3.36,-11.1,1.23,0.0
20110122,-8.63,-12.81,0.0,0.0
20110123,-11.49,-22.37,0.0,0.0
20110124,-9.45,-20.52,6.13,0.0
20110125,-5.56,-8.81,7.72,0.0
20110126,-7.26,-17.95,2.51,0.0
20110127,-13.59,-23.28,0.0,0.0
20110128,-2.56,-13.14,1.01,0.11030360085105981
20110129,-1.62,-3.78,3.52,0.09751704374972342
20110130,-1.48,-14.56,3.02,0.0
20110131,-2.71,-19.69,1.34,0.0
20110201,-1.3,-3.75,0.0,0.13194631013685795
20110202,-0.52,-4.14,6.4,0.11881781091575833
20110203,-1.15,-4.64,2.11,0.1319171345790018
20110204,0.05,-2.58,2.12,0.1289535871963272
20110205,-0.64,-4.77,2.97,0.0
20110206,-4.09,-9.99,0.0,0.0
20110207,-3.58,-9.85,0.0,0.0
20110208,-1.24,-5.38,8.39,0.13351872281325172
20110209,-4.93,-11.06,2.55,0.0
20110210,-10.55,-17.99,0.0,0.11082687194322977
20110211,-13.53,-20.52,0.0,0.05523954850943943
20110212,-16.99,-21.12,0.0,0.10298708516446758
20110213,-17.78,-21.3,0.0,0.11569934375730685
20110214,-19.98,-28.21,0.0,0.10783497535652946
20110215,-14.18,-26.34,0.0,0.14064468789045245
20110216,-18.65,-30.38,0.0,0.12350616586041814
20110217,-21.6,-32.66,0.0,0.0947535994955264
20110218,-18.13,-32.11,0.0,0.1099398965440246
20110219,-16.67,-27.64,0.0,0.15286647197734138
20110220,-14.35,-22.02,0.0,0.18589310877469722
20110221,-11.81,-20.53,0.0,0.1204160923528086
20110222,-15.48,-23.56,0.0,0.18914590841248055
20110223,-13.85,-22.13,1.06,0.20290904629894535
20110224,-11.67,-17.08,0.0,0.18634057112944594
20110225,-11.12,-18.89,0.0,0.2866027230650738
20110226,-9.67,-15.95,4.2,0.15712215828112758
20110227,-5.42,-12.38,0.0,0.19017582414956902
20110228,-7.25,-17.71,0.0,0.3726623207166831
20110301,-7.01,-18.09,0.0,0.3945370544844133
20110302,-3.24,-11.63,0.0,0.06907557466076344
20110303,-2.35,-8.33,0.0,0.07335110565716128
20110304,-0.27,-4.98,5.09,0.2962930434448849
20110305,-0.92,-3.96,3.75,0.2454745954157628
20110306,-3.94,-10.08,0.0,0.41254227461160203
20110307,-4.83,-12.06,0.0,0.37331932254243927
20110308,-0.38,-6.76,0.0,0.43001073930587075
20110309,-0.12,-8.15,0.0,0.746087087594995
20110310,-2.02,-5.17,0.0,0.2611470685313386
20110311,-0.61,-4.94,2.88,0.13984928423304646
20110312,-0.35,-10.01,0.0,0.45837625195996945
20110313,0.03,-4.43,0.0,0.3625873136301967
20110314,0.1,-1.89,0.0,0.5963435654609351
20110315,-1.92,-7.32,0.0,0.40218909699720823
20110316,-3.45,-12.1,0.0,0.840994469071143
20110317,-0.78,-13.58,0.0,0.8755870366686657
20110318,-0.02,-14.28,0.0,0.9596177541740355
20110319,0.03,-7.85,0.0,0.8618753763424821
20110320,-0.13,-6.77,2.17,0.4070765381379264
20110321,0.05,-6.74,0.0,0.9841946114386347
20110322,0.09,-1.06,2.56,0.5333872329865674
20110323,0.08,-2.68,4.31,0.4613663892028551
20110324,-0.63,-5.88,4.09,0.9167735332627139
20110325,-5.02,-10.23,1.66,0.9152222498880709
20110326,-6.07,-12.39,0.0,0.7459202709449763
20110327,-1.13,-8.55,0.0,0.8196681223663576
20110328,-0.69,-4.24,3.26,0.6900861478924805
20110329,-1.52,-6.54,5.12,1.2084753260275773
20110330,-2.6,-10.1,5.76,0.6339494692641165
20110331,-0.27,-11.16,0.0,1.266512439907003
20110401,0.08,-10.94,0.0,0.9110111784201957
20110402,0.15,-1.0,0.0,0.3558432997579099
20110403,0.14,0.05,0.0,0.8037320753643244
20110404,0.17,0.08,0.0,1.268508732115698
20110405,0.29,-0.56,0.0,1.658659184184175
20110406,0.23,-1.64,4.46,0.45429777740691046
20110407,0.26,-0.0,4.41,0.5840712853808343
20110408,0.25,-0.27,4.2,0.6410505529397305
20110409,0.37,-1.41,0.0,0.7016785471615692
20110410,0.99,-0.85,0.0,0.5428253150025177
20110411,1.57,-3.25,0.0,1.8273779436909503
20110412,1.98,-5.91,0.0,1.8359299985741586
20110413,2.16,-6.13,0.0,1.0121736422653622
20110414,2.01,-3.98,0.0,0.9451262600662496
20110415,4.4,-5.77,0.0,1.238241609008628
20110416,3.95,0.27,2.13,0.9112960924850295
20110417,10.64,1.17,0.0,1.7396142947500526
20110418,7.8,0.48,0.0,2.1373977387254897
20110419,6.3,-1.32,0.0,2.0319731579096967
20110420,9.05,-2.88,0.0,2.4065919921015277
20110421,9.83,0.67,0.0,1.2577015993891227
20110422,12.48,-0.17,0.0,1.573203095334618
20110423,14.45,1.41,0.0,2.8820775713330526
20110424,15.98,-0.7,0.0,2.8851881139044777
20110425,16.57,1.62,0.0,2.733282989017614
20110426,19.23,2.26,0.0,3.433682540493007
20110427,17.91,3.83,0.0,3.2641657969112847
20110428,13.31,3.45,0.0,2.98283073858089
20110429,13.18,-0.44,0.0,2.5682605091438577
20110430,11.13,0.55,0.0,2.435839402336164
20110501,5.64,0.13,2.57,1.055399504784264
20110502,6.4,-1.99,0.0,0.5750103832173602
20110503,7.58,-2.73,0.0,1.3754079162032615
20110504,6.47,-0.19,5.43,0.9421192560913098
20110505,7.46,1.37,2.81,0.6867446353699916
20110506,7.25,2.08,8.48,0.6710913854652011
20110507,11.36,3.61,2.44,1.4414869793010174
20110508,16.58,1.37,0.0,3.8114510278248193
20110509,18.09,2.56,0.0,3.9974621083583224
20110510,19.23,4.62,0.0,3.960354172711436
20110511,19.62,6.34,0.0,4.189545419371276
20110512,19.81,6.02,0.0,3.2103222860178975
20110513,14.87,5.18,0.0,3.685409095351631
20110514,13.91,3.39,0.0,4.089274259384901
20110515,15.59,3.23,0.0,4.1053003984413285
20110516,11.83,7.11,9.72,2.5033458587777235
20110517,13.09,6.23,3.29,1.7729034664700667
20110518,12.11,6.56,8.93,2.0697278357017357
20110519,15.26,4.56,0.0,3.3547844314472113
20110520,17.34,7.05,0.0,3.53252156646929
20110521,18.3,4.69,0.0,4.187358834633849
